@RELATION type

@ATTRIBUTE refractive_index {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
@ATTRIBUTE na {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
@ATTRIBUTE mg {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
@ATTRIBUTE al {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
@ATTRIBUTE si {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
@ATTRIBUTE k {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
@ATTRIBUTE ca {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
@ATTRIBUTE ba {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
@ATTRIBUTE fe {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
@ATTRIBUTE type {1,2,3,4,5,6,7}

@DATA
5,5,15,6,12,1,5,0,0,1
14,0,0,3,11,0,17,0,0,2
6,7,12,7,10,1,6,0,0,1
9,10,16,4,5,0,6,0,19,3
4,6,15,8,11,2,4,0,0,2
9,10,17,4,5,0,6,0,0,1
13,1,0,3,12,0,17,0,0,2
5,7,15,7,10,1,5,0,0,1
6,8,14,6,8,1,6,0,0,1
9,9,17,3,6,0,8,0,0,1
5,12,0,10,11,0,5,9,0,7
0,19,0,0,19,0,2,0,0,6
1,6,0,19,3,19,2,0,0,5
6,8,12,6,10,1,6,0,0,1
6,6,16,9,9,1,5,0,6,2
4,5,15,11,12,2,4,0,4,2
4,5,15,9,12,2,4,0,12,1
4,6,15,9,10,1,4,0,0,2
5,6,16,9,11,1,4,0,0,2
19,4,0,5,1,0,19,0,12,2
9,10,16,3,5,0,7,0,0,1
5,7,15,8,10,1,5,0,0,1
6,8,17,7,9,1,5,0,7,2
10,8,14,6,9,1,6,0,0,7
7,9,10,6,10,0,8,0,0,6
6,8,17,9,7,1,5,0,8,2
5,7,15,8,10,1,4,0,0,2
2,10,13,13,8,3,3,0,0,2
5,6,15,6,11,1,6,0,16,1
3,7,15,8,12,1,4,0,0,2
5,8,16,11,8,2,4,0,0,2
5,7,16,6,10,1,5,0,5,1
9,2,8,9,10,1,11,0,0,5
5,7,16,7,9,1,5,0,0,1
7,7,14,7,9,1,6,0,5,1
5,8,16,2,11,0,6,0,0,3
4,6,16,7,10,1,5,0,0,2
4,6,15,8,11,1,5,0,0,2
5,7,12,7,11,1,6,0,4,1
1,11,7,9,16,0,4,0,0,6
7,12,16,0,7,0,6,0,0,1
5,8,16,5,10,0,5,0,0,3
4,9,7,10,11,0,6,4,0,7
8,8,9,10,8,1,7,1,9,2
4,6,15,8,11,2,5,0,13,2
17,0,0,13,0,1,14,19,15,2
10,7,15,3,7,0,8,0,1,1
6,6,16,5,11,1,5,0,6,2
5,5,15,7,11,1,6,0,0,1
6,6,13,8,11,1,6,0,0,2
5,10,0,13,12,0,5,10,0,7
1,6,0,19,2,19,2,0,0,5
6,7,16,5,10,1,5,0,9,2
4,12,0,16,11,0,6,3,0,7
5,4,14,6,13,1,6,0,12,2
4,6,15,13,10,2,4,0,0,2
9,6,16,4,8,0,8,0,9,1
3,10,0,17,12,0,6,3,2,7
6,9,15,7,7,1,6,0,0,1
6,6,16,5,9,2,6,0,8,2
4,10,0,11,13,0,5,9,0,7
5,6,15,6,11,1,5,0,11,1
6,8,16,5,10,0,6,0,0,1
9,10,17,1,6,0,7,0,0,1
5,8,16,6,11,1,4,0,0,1
7,9,15,7,8,1,5,0,0,1
5,7,15,9,9,2,4,0,0,2
4,7,16,9,9,2,4,0,15,2
9,7,15,4,8,0,8,0,8,1
4,6,15,8,12,2,4,0,12,1
8,10,0,12,12,0,5,10,0,7
5,5,15,8,11,1,5,0,0,1
8,8,19,5,7,0,6,0,0,1
9,6,16,4,8,0,8,0,9,1
5,7,16,6,11,1,5,0,0,1
7,6,8,11,10,1,8,0,0,5
