@RELATION type

@ATTRIBUTE refractive_index{0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
@ATTRIBUTE  na{0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
@ATTRIBUTE  mg{0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
@ATTRIBUTE  al{0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
@ATTRIBUTE  si{0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
@ATTRIBUTE  k{0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
@ATTRIBUTE  ca{0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
@ATTRIBUTE  ba{0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
@ATTRIBUTE  fe{0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19}
@ATTRIBUTE  type{<map object at 0x10a6e3e80>}

@DATA
8,8,19,5,7,0,6,0,0,1
5,9,16,6,10,1,4,0,0,1
4,8,15,7,11,1,4,0,0,1
5,7,16,6,9,1,5,0,0,1
5,7,16,5,11,1,4,0,0,1
4,6,16,8,11,2,4,0,10,1
5,7,16,5,11,1,5,0,0,1
5,7,16,4,12,1,5,0,0,1
7,9,15,6,8,1,5,0,0,1
5,6,16,6,11,1,5,0,4,1
4,5,15,7,12,2,4,0,9,1
5,6,16,6,11,1,5,0,0,1
4,6,15,6,12,2,4,0,9,1
5,6,15,6,12,1,5,0,6,1
5,5,15,6,12,1,5,0,0,1
5,6,15,5,12,1,5,0,0,1
5,5,16,5,11,1,6,0,0,1
9,10,17,3,5,0,6,0,0,1
6,9,16,5,8,0,6,0,0,1
5,6,15,8,10,1,5,0,2,1
5,6,15,7,10,1,5,0,7,1
7,12,16,0,7,0,6,0,0,1
5,6,16,6,10,1,6,0,0,1
5,6,15,6,11,1,5,0,0,1
5,7,15,5,10,1,5,0,0,1
5,6,15,5,11,2,5,0,0,1
