@RELATION GlassCSInvestigation

@ATTRIBUTE RI {1, 0}
@ATTRIBUTE NA {1, 0}
@ATTRIBUTE MG {1, 0}
@ATTRIBUTE AL {1, 0}
@ATTRIBUTE SI {1, 0}
@ATTRIBUTE K {1, 0}
@ATTRIBUTE CA {1, 0}
@ATTRIBUTE BA {1, 0}
@ATTRIBUTE FE {1, 0}
@ATTRIBUTE TYPE {1, 2, 3, 4, 5, 6, 7}


@DATA
1,1,1,1,1,1,1,0,0,1
1,1,1,1,1,1,1,0,0,1
1,1,1,1,1,1,1,0,0,1
1,1,1,1,1,1,1,0,0,1
1,1,1,1,1,1,1,0,0,1
1,1,1,1,1,1,1,0,1,1
1,1,1,1,1,1,1,0,0,1
1,1,1,1,1,1,1,0,0,1
1,1,1,1,1,1,1,0,0,1
1,1,1,1,1,1,1,0,1,1
1,1,1,1,1,1,1,0,1,1
1,1,1,1,1,1,1,0,0,1
1,1,1,1,1,1,1,0,1,1
1,1,1,1,1,1,1,0,1,1
1,1,1,1,1,1,1,0,0,1
1,1,1,1,1,1,1,0,0,1
1,1,1,1,1,1,1,0,0,1
1,1,1,1,1,1,1,0,0,1
1,1,1,1,1,1,1,0,0,1
1,1,1,1,1,1,1,0,1,1
1,1,1,1,1,1,1,0,1,1
1,1,1,1,1,1,1,0,0,1
1,1,1,1,1,1,1,0,0,1
1,1,1,1,1,1,1,0,0,1
1,1,1,1,1,1,1,0,0,1
1,1,1,1,1,1,1,0,0,1
1,1,1,1,1,1,1,0,0,1
1,1,1,1,1,1,1,0,0,1
1,1,1,1,1,1,1,0,0,1
1,1,1,1,1,1,1,0,0,1
1,1,1,1,1,1,1,0,1,1
1,1,1,1,1,1,1,0,0,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,0,1,1
1,1,1,1,1,1,1,0,0,1
1,1,1,1,1,1,1,0,0,1
1,1,1,1,1,1,1,1,0,1
1,1,1,1,1,1,1,0,0,1
1,1,1,1,1,1,1,0,0,1
1,1,1,1,1,1,1,0,0,1
1,1,1,1,1,1,1,0,0,1
1,1,1,1,1,1,1,0,0,1
1,1,1,1,1,1,1,0,0,1
1,1,1,1,1,1,1,0,0,1
1,1,1,1,1,1,1,0,1,1
1,1,1,1,1,1,1,0,0,1
1,1,1,1,1,1,1,0,1,1
1,1,1,1,1,1,1,0,1,1
1,1,1,1,1,1,1,0,0,1
1,1,1,1,1,1,1,0,0,1
1,1,1,1,1,1,1,0,1,1
1,1,1,1,1,1,1,0,1,1
1,1,1,1,1,1,1,0,0,1
1,1,1,1,1,1,1,0,0,1
1,1,1,1,1,1,1,0,1,1
1,1,1,1,1,1,1,0,1,1
1,1,1,1,1,1,1,0,1,1
1,1,1,1,1,1,1,0,0,1
1,1,1,1,1,1,1,0,0,1
1,1,1,1,1,1,1,0,1,1
1,1,1,1,1,1,1,0,0,1
1,1,1,1,1,1,1,1,0,1
1,1,1,1,1,1,1,0,1,1
1,1,1,1,1,0,1,0,0,1
1,1,1,1,1,1,1,0,1,1
1,1,1,1,1,1,1,0,0,1
1,1,1,1,1,1,1,0,1,1
1,1,1,1,1,1,1,0,1,1
1,1,1,1,1,1,1,0,1,1
1,1,1,1,1,1,1,0,1,1
1,1,1,1,1,1,1,0,1,2
1,1,1,1,1,1,1,0,1,2
1,1,1,1,1,1,1,0,0,2
1,1,1,1,1,1,1,0,0,2
1,1,1,1,1,1,1,0,0,2
1,1,1,1,1,1,1,0,0,2
1,1,1,1,1,1,1,0,0,2
1,1,1,1,1,1,1,0,0,2
1,1,1,1,1,1,1,0,1,2
1,1,1,1,1,1,1,0,0,2
1,1,1,1,1,1,1,0,0,2
1,1,1,1,1,1,1,0,0,2
1,1,1,1,1,1,1,0,0,2
1,1,1,1,1,1,1,0,1,2
1,1,1,1,1,1,1,0,0,2
1,1,1,1,1,1,1,0,0,2
1,1,1,1,1,1,1,0,0,2
1,1,1,1,1,1,1,0,1,2
1,1,1,1,1,1,1,0,0,2
1,1,1,1,1,1,1,0,1,2
1,1,1,1,1,1,1,0,1,2
1,1,1,1,1,1,1,0,0,2
1,1,1,1,1,1,1,0,1,2
1,1,1,1,1,1,1,0,0,2
1,1,1,1,1,1,1,0,0,2
1,1,1,1,1,1,1,0,0,2
1,1,1,1,1,1,1,0,1,2
1,1,1,1,1,1,1,0,1,2
1,1,1,1,1,1,1,0,0,2
1,1,1,1,1,1,1,1,0,2
1,1,1,1,1,1,1,1,1,2
1,1,1,1,1,1,1,0,0,2
1,1,1,1,1,1,1,0,1,2
1,1,1,1,1,1,1,0,0,2
1,1,1,1,1,1,1,0,0,2
1,1,0,1,1,1,1,0,1,2
1,1,0,1,1,1,1,1,1,2
1,1,0,1,1,1,1,0,1,2
1,1,0,1,1,1,1,0,1,2
1,1,0,1,1,0,1,0,0,2
1,1,0,1,1,0,1,0,0,2
1,1,0,1,1,0,1,0,0,2
1,1,0,1,1,1,1,0,0,2
1,1,1,1,1,1,1,0,1,2
1,1,1,1,1,1,1,0,0,2
1,1,1,1,1,1,1,0,0,2
1,1,1,1,1,1,1,0,1,2
1,1,1,1,1,1,1,0,0,2
1,1,1,1,1,1,1,0,1,2
1,1,1,1,1,1,1,0,0,2
1,1,1,1,1,1,1,0,0,2
1,1,1,1,1,1,1,0,1,2
1,1,1,1,1,1,1,0,0,2
1,1,1,1,1,1,1,0,0,2
1,1,1,1,1,1,1,0,0,2
1,1,1,1,1,1,1,0,1,2
1,1,1,1,1,1,1,0,0,2
1,1,1,1,1,1,1,0,1,2
1,1,1,1,1,1,1,1,1,2
1,1,1,1,1,1,1,0,1,2
1,1,1,1,1,1,1,0,0,2
1,1,0,1,1,1,1,0,1,2
1,1,1,1,1,1,1,0,0,2
1,1,1,1,1,1,1,0,1,2
1,1,1,1,1,1,1,0,0,2
1,1,1,1,1,1,1,0,1,2
1,1,1,1,1,1,1,0,1,2
1,1,1,1,1,1,1,0,0,2
1,1,1,1,1,1,1,0,0,2
1,1,1,1,1,1,1,0,0,2
1,1,1,1,1,1,1,0,0,2
1,1,1,1,1,1,1,1,1,2
1,1,1,1,1,1,1,1,1,2
1,1,1,1,1,1,1,0,0,2
1,1,1,1,1,1,1,0,1,2
1,1,1,1,1,1,1,0,1,2
1,1,1,1,1,1,1,0,0,3
1,1,1,1,1,1,1,0,0,3
1,1,1,1,1,1,1,0,1,3
1,1,1,1,1,1,1,0,0,3
1,1,1,1,1,1,1,0,1,3
1,1,1,1,1,0,1,0,0,3
1,1,1,1,1,1,1,0,0,3
1,1,1,1,1,1,1,0,0,3
1,1,1,1,1,1,1,0,0,3
1,1,1,1,1,1,1,0,0,3
1,1,1,1,1,1,1,0,0,3
1,1,1,1,1,1,1,0,0,3
1,1,1,1,1,1,1,0,0,3
1,1,1,1,1,1,1,0,1,3
1,1,1,1,1,1,1,0,0,3
1,1,1,1,1,1,1,1,1,3
1,1,1,1,1,1,1,0,1,3
1,1,1,1,1,1,1,1,0,5
1,1,1,1,1,1,1,0,0,5
1,1,1,1,1,1,1,0,0,5
1,1,1,1,1,1,1,0,0,5
1,1,0,1,1,1,1,0,0,5
1,1,0,1,1,1,1,0,0,5
1,1,0,1,1,1,1,0,0,5
1,1,0,1,1,1,1,0,0,5
1,1,0,1,1,1,1,0,0,5
1,1,0,1,1,1,1,0,0,5
1,1,0,1,1,1,1,0,0,5
1,1,1,1,1,1,1,1,1,5
1,1,1,1,1,1,1,0,1,5
1,1,1,1,1,0,1,0,0,6
1,1,1,1,1,0,1,0,0,6
1,1,1,1,1,0,1,0,0,6
1,1,1,1,1,0,1,0,0,6
1,1,1,1,1,0,1,0,0,6
1,1,1,1,1,0,1,0,0,6
1,1,0,1,1,0,1,0,0,6
1,1,0,1,1,0,1,0,0,6
1,1,0,1,1,0,1,0,0,6
1,1,1,1,1,1,1,1,0,7
1,1,1,1,1,1,1,1,0,7
1,1,1,1,1,1,1,0,0,7
1,1,1,1,1,1,1,0,0,7
1,1,1,1,1,1,1,1,0,7
1,1,1,1,1,0,1,1,0,7
1,1,0,1,1,0,1,1,1,7
1,1,0,1,1,1,1,1,1,7
1,1,0,1,1,0,1,1,1,7
1,1,0,1,1,0,1,1,1,7
1,1,0,1,1,1,1,1,1,7
1,1,0,1,1,1,1,1,1,7
1,1,0,1,1,0,1,1,0,7
1,1,0,1,1,1,1,1,0,7
1,1,0,1,1,1,1,1,0,7
